gene,UC signature,Mendiratta signature
ABCG5,-0.001398429402514976,0.0
ABHD10,-0.013668654296304664,-0.020388
ABHD11,0.024111762211543417,0.0
ABHD14A,-0.0037687274249169553,0.0
ABHD2,0.03392272733243429,0.088713
ABHD3,0.013584290523027174,0.0
ABHD4,-0.004284042326320614,0.0
ABHD5,-0.002722545156649642,0.0
ABHD6,0.004036454477383965,0.0
ABHD8,-0.009814122284540894,0.0
ABI1,-0.0039269395983049975,0.0
ABI2,-0.009457707453536898,0.0
ABI3BP,0.0003147753005001307,0.0
ABL1,0.00018169284281219493,0.0
ABL2,-0.007299438250713048,0.0
ABLIM1,-0.00550481356990531,-0.033395999999999995
ABLIM3,0.0022938210261795097,0.0
ABO,0.0004502332090432966,0.0
ABR,-0.015308536753617602,0.0
ABT1,0.0023889445522518628,0.0
ABTB2,-0.0025965884562309492,0.0
ACAA1,0.008331151658672086,0.0
ACAA2,-0.013705419411478407,0.0
ACACA,0.030792319055187305,0.03662
ACACB,-3.663740290852968e-05,0.0
ACAD10,0.0036839318440661014,0.0
ACAD8,0.021314923515190147,0.0
ACADL,0.00848707940659249,0.0
ACADM,-0.010958314385935274,0.0
ACADS,-0.0004921017185073595,0.0
ACADSB,-0.00272017746670538,0.0
ACADVL,0.011483060771129042,0.0
ACAN,-0.0042121363498510995,0.0
ACAP1,-0.0016719907171903815,0.0
ACAP2,0.0011374454381743292,0.0
ACAT1,0.004842334929837873,0.0
ACAT2,0.03201622110370353,0.0
ACBD3,0.004227247216643042,0.0
ACBD4,0.000734568377657192,0.0
ACD,0.004420609934624281,0.0
ACE,-0.005182974783904077,0.0
ACE2,-0.0005796687821795462,0.0
ACHE,-0.0035627429052852936,0.0
ACIN1,-0.007652777912504073,0.0
ACLY,0.03615036073668947,0.0
ACO1,0.0030663060202974425,0.0
ACO2,-0.0016840706874496143,0.0
ACOT11,0.001754573037987439,0.0
ACOT13,0.009672481057932752,0.0
ACOT7,0.010500479317313623,0.0
ACOT8,-0.003447853653392331,0.0
ACOT9,0.011505745138008042,0.0
ACOX1,0.006049578125715562,0.0
ACOX2,0.003505599006148627,0.0
ACOX3,0.005893706862390981,0.0
ACOXL,-0.004255219082192963,0.0
ACP1,-0.00042944300208957927,0.0
ACP2,-0.005295073736180912,0.0
ACP5,0.0018833490616587312,0.0
ACP6,-0.0060877628735737715,0.0
ACPP,-0.010530915958205229,0.0
ACR,0.00517755321043296,0.0
ACRV1,0.001130232358272159,0.0
ACSBG1,-0.0004572317232251857,0.0
ACSBG2,0.00032474675054432287,0.0
ACSF2,-0.004612352206003672,0.0
ACSL1,0.02632820837827898,0.0
ACSL3,0.04662920307739632,0.099978
ACSL4,-0.0025527627031224935,0.0
ACSL5,-0.006399856097086412,0.0
ACSL6,-0.0014926222863611385,0.0
ACSM1,0.01603985925343101,0.0
ACSM3,0.01807706475932606,0.0
ACSM5,-0.0009375770873652303,0.0
ACSS3,-0.00026955145710764046,0.0
ACTA1,0.0038390876976619717,0.0
ACTA2,0.003368394769497875,0.0
ACTB,0.010131484777244302,0.0
ACTC1,0.006094125434981329,0.0
ACTG1,0.00955426291648669,0.0
ACTG2,-0.004613969617566256,0.0
ACTL6A,0.0020617975082160185,0.0
ACTL6B,0.000686884259034144,0.0
ACTL7A,0.00014609950512093172,0.0
ACTL7B,0.001384331300231766,0.0
ACTL8,0.001174290953388904,0.0
ACTN1,0.0036023970006945497,0.0
ACTN2,-0.00045361430362262197,0.0
ACTN3,0.0011815896866407096,0.0
ACTN4,-0.0068207488636811385,0.0
ACTR10,-0.009085025322754275,0.0
ACTR1A,0.005174012233240251,0.0
ACTR1B,-0.005800967363719511,0.0
ACTR2,-0.0024679151608383823,0.0
ACTR3,0.005822378027439993,0.035263499999999996
ACTR3B,0.0024914793960344028,0.0
ACTR5,0.002581991235457242,0.0
ACTR6,-0.0028517405808572427,0.0
ACTR8,-0.00033701874455402707,0.0
ACVR1,-0.008969155040346103,0.0
ACVR1B,-0.0006862122292634399,0.0
ACVR2A,-0.0009009109799497321,0.0
ACVR2B,-0.006678274175844576,0.0
ACVRL1,-0.00041472370877539865,0.0
ACYP1,0.00048184785994294567,0.0
ACYP2,-0.017642994411587558,0.0
ADA,-0.002660472077703321,0.0
ADAM10,0.0027593717391822536,0.0
ADAM11,-0.0006775765837605163,0.0
ADAM12,-0.005946611681173152,0.0
ADAM15,0.0006927433611263934,0.0
ADAM17,0.0061673034155130275,0.0
ADAM18,0.0038859625108648055,0.0
ADAM19,-0.0039268252183316385,0.0
ADAM2,-0.017834037663550937,0.0
ADAM20,-0.004259145929673343,0.0
ADAM22,-0.0034896893367633176,0.0
ADAM23,0.0013972529595285374,0.0
ADAM28,0.0009716014752938428,0.0
ADAM29,0.001039587520096663,0.0
ADAM30,-0.0009267841250071319,0.0
ADAM7,0.005571567220152421,0.056272
ADAM8,0.003004115032584571,0.0
ADAM9,0.02157841257724461,0.0
ADAMDEC1,0.0006055055415950675,0.0
ADAMTS1,-0.0058938574004115,0.0
ADAMTS12,0.002613373906012121,0.0
ADAMTS13,1.329581891328955e-05,0.0
ADAMTS2,-0.0024927511737202037,0.0
ADAMTS20,-0.00012794744614386615,0.0
ADAMTS3,-0.005405397145657281,0.0
ADAMTS5,-0.0005899709395212514,0.0
ADAMTS6,-0.002814683785578434,0.0
ADAMTS7,0.0019508911060453738,0.0
ADAMTS8,0.001507289913903042,0.0
ADAMTS9,-0.00047082820753393916,0.0
ADAMTSL2,-0.0009659056147866638,0.0
ADAMTSL3,-0.004289561720874299,0.0
ADAMTSL4,0.0015249430211705427,0.0
ADAP1,-0.0031129174821088565,0.0
ADAP2,-0.00226610692999168,0.0
ADAR,-0.01881150739195995,0.0
ADARB1,0.0015847052302463383,0.0
ADARB2,0.0029065920089264394,0.0
ADAT1,0.001461995647665919,0.0
ADCK2,-0.0054705346353134485,0.0
ADCY1,0.0010223857773992847,0.0
ADCY10,0.00032853298258329856,0.0
ADCY2,0.0029317483248460525,0.0
ADCY3,0.0016814366528674239,0.0
ADCY6,0.00041734705510927146,0.0
ADCY7,-0.005461383784564317,0.0
ADCY8,0.004578581178721523,0.0
ADCY9,-0.0007141081393880304,0.0
ADCYAP1,-0.0018283087044695502,0.0
ADCYAP1R1,0.004742240910662352,0.0
ADD1,-0.005835139989531666,0.0
ADD2,-0.0013067617335920563,0.0
ADD3,-0.08022295868335282,0.0
ADH1A,0.0018469262276395548,0.0
ADH1B,0.0022038870864816294,0.0
ADH1C,0.012499188990416122,0.0
ADH5,0.0033993655472706994,0.0
ADH6,-0.0008322939794825433,0.0
ADH7,-0.0020252226572953086,0.0
ADI1,-0.0037294563169765777,0.0
ADIPOQ,-0.0016477212686219346,0.0
ADIPOR1,-0.0019696228535709794,0.0
ADIPOR2,-0.0006566542506638766,0.0
ADK,0.006910278306811854,0.0
ADM,0.009418054686332744,-0.11138800000000001
ADM2,-0.006224429778453559,0.0
ADNP,-0.014217362795252717,0.0
ADNP2,-0.0021986426414150727,0.0
ADO,0.0009145363272868228,0.0
ADORA1,0.0002876675349926446,0.0
ADORA2B,0.0006616828241452618,0.0
ADORA3,5.583599360647858e-05,0.0
ADPGK,0.008801767566965856,0.022101
ADPRH,0.0023804052287515146,0.0
ADRA1A,-0.0007348319436562032,0.0
ADRA1B,-0.004280234018518092,0.0
ADRA1D,-0.003062555479980174,0.0
ADRA2A,0.0067142476122387966,0.0
ADRA2B,-0.00017267311960286448,0.0
ADRA2C,0.005397845219909908,0.0
ADRB1,0.006445551204440165,0.0
ADRB2,0.018681574415677145,0.0
ADRB3,-0.0012445306798221582,0.0
ADRM1,0.0026897561818915025,0.0
ADSL,-0.004500333048677027,0.0
ADSS,0.008083137860234343,0.0
AEBP1,0.003949487773525747,0.0
AEN,0.005137417409278511,0.0
AES,-0.009064405629542948,0.0
AFAP1,0.001420634006275649,0.0
AFF1,-0.004722229461929724,0.0
AFF2,-0.0025804256825199537,0.0
AFF3,-9.854173048772786e-05,0.0
AFF4,0.0006479250118138735,0.0
AFG3L2,-0.008370423120130026,0.0
AFM,-0.0032272266948035417,0.0
AFP,0.004285726917402503,0.0
AFTPH,-0.005426762779637764,0.0
AGA,-0.012852429138020299,0.0
AGAP1,-0.000596431836645511,0.0
AGAP2,-0.0013571354152972616,0.0
AGBL2,-0.003013196322082683,0.0
AGBL3,-0.0005087676957950475,0.0
AGBL5,-0.0005667796702978607,0.0
AGER,1.8644999227579124e-05,0.0
AGFG1,-0.001317959793211708,0.0
AGFG2,0.0037419543079015892,0.0
AGGF1,-0.0015678191858232372,0.0
AGK,0.0029495963949806906,0.0
AGL,-0.0029009660924447784,0.0
AGMAT,-0.0007200082611424565,0.0
AGPAT1,-0.007691568115756764,0.0
AGPAT2,-0.0051132802984086186,0.0
AGPAT3,-0.00831947207997481,0.0
AGPAT4,-0.00025692340087709437,0.0
AGPAT5,0.01620227678934587,0.0
AGPS,0.004076257058767077,0.0
AGR2,0.04489512006770206,0.0
AGRN,-0.003818322950936498,0.0
AGRP,3.753948043552195e-05,0.0
AGT,-0.00041914805034778523,0.0
AGTPBP1,0.0008828367482199955,0.0
AGTR1,-0.0018176506879453078,0.0
AGTR2,0.001970337545598915,0.0
AGXT,0.0005719204917277449,0.0
AHCTF1,-0.0022582612923179933,0.0
AHCY,-0.009180505282358913,0.0
AHCYL1,-0.013692605643416912,0.0
AHCYL2,0.002085732384051338,0.0
AHDC1,0.0016422548898547733,0.0
AHI1,-0.0005360231124501258,0.0
AHNAK,0.007710889634287965,0.0
AHNAK2,-0.001160066386682556,0.0
AHR,-0.00479904407487689,0.0
AHSA1,0.013512386587089156,0.0
AHSG,0.0008823377806550767,0.0
AHSP,-0.0018822197227998602,0.0
AICDA,-0.000350386874564416,0.0
AIDA,-0.0409463183761701,0.0
AIF1,-0.0024221497052065006,0.0
AIFM1,0.0065862052297193064,0.0
